OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
740,1431766,5499,41,TRAFFIC,12500(A) UNLICENSED DRIVER,4,4A,0901,2020-01-01T00:10:21.000Z
741,1431769,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5B,1603,2020-01-11T00:12:15.000Z
742,1431774,5212,78,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,1,1C,0309,2020-01-10T00:15:28.000Z
743,1431776,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,1,1A,0116,2020-01-08T00:21:16.000Z
744,1431778,2999,38,VANDALISM,594(B)(1) VANDAL $400 OR MORE,6,6A,1053,2020-01-11T00:02:58.000Z
745,1431789,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2A,0233,2020-01-10T00:21:00.000Z
746,1431793,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3A,0706,2020-01-09T00:23:45.000Z
747,1431797,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3M,0744,2020-01-11T00:09:01.000Z
748,1431799,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,2,2C,0628,2020-01-09T00:14:11.000Z
749,1431800,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,3,3M,0744,2020-01-10T00:10:03.000Z
750,1431801,5012,0,OBST JUDICIARY,1203.2 PC VIOL OF PROBATION,3,3M,0744,2020-01-10T00:09:30.000Z
751,1431802,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3A,0725,2020-01-11T00:11:09.000Z
752,1431804,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3A,0721,2020-01-03T00:10:00.000Z
753,1431807,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,6,6C,1113,2020-01-11T00:00:27.000Z
754,1431811,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,2,2B,0564,2020-01-03T00:19:59.000Z
755,1431815,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,6,6D,0841,2020-01-11T00:10:15.000Z
756,1431817,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5A,1394,2020-01-10T00:19:00.000Z
757,1431823,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,3,3B,0766,2020-01-09T00:23:15.000Z
758,1431825,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1A,0325,2020-01-05T00:15:00.000Z
759,1431826,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,2,2A,0232,2020-01-11T00:11:14.000Z
760,1431830,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6D,0851,2020-01-11T00:22:11.000Z
761,1431831,2302,0,LARCENY,487(C) GRAND THEFT-PURSE SNTCH,6,6E,1101,2020-01-11T00:20:45.000Z
762,1431833,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,4,4B,1356,2020-01-11T00:15:19.000Z
763,1431835,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1113,2020-01-11T00:09:10.000Z
764,1431837,5311,52,DISORDERLY,647(F) PC PUB INTOX-DETOX ONLY,3,3M,0751,2020-01-11T00:13:45.000Z
765,1431838,3560,3,NARCOTICS,11359(B) POSS MARIJ FOR SALE-M,5,5B,1369,2020-01-11T00:15:18.000Z
766,1431839,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,3,3B,0747,2020-01-11T00:21:38.000Z
767,1431840,1313,19,BATTERY,242 PC BATTERY CIVILIAN,3,3M,0745,2020-01-12T00:01:06.000Z
768,1431844,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1113,2020-01-11T00:08:14.000Z
769,1431845,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1113,2020-01-11T00:07:03.000Z
770,1431847,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,5,5C,1654,2020-01-09T00:15:25.000Z
771,1431848,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,1,1C,0449,2020-01-10T00:18:54.000Z
772,1431849,5213,5,WEAPON OFFENSE,246.3(A) PC NEGL DISCH FIREARM,5,5B,1603,2020-01-10T00:22:07.000Z
773,1431854,5212,96,WEAPON OFFENSE,33215 POSS SHORT BARRELED GUN,5,5C,1624,2020-01-12T00:00:16.000Z
774,1431861,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3B,0716,2020-01-11T00:20:00.000Z
775,1431864,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5A,1393,2020-01-11T00:19:00.000Z
776,1431871,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2C,0558,2020-01-11T00:20:00.000Z
777,1431873,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,1,1B,0435,2020-01-10T00:17:00.000Z
778,1431874,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,3,3A,0775,2020-01-12T00:00:49.000Z
779,1431878,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2A,0514,2020-01-11T00:21:30.000Z
780,1431881,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,1,1B,0440,2020-01-12T00:02:40.000Z
781,1431882,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,2,2B,0526,2020-01-12T00:14:50.000Z
782,1431883,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,4,4C,1279,2020-01-12T00:13:00.000Z
783,1431893,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,5,5A,1363,2020-01-11T00:07:31.000Z
784,1431897,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6D,0856,2020-01-11T00:22:52.000Z
785,1431898,5005,2,OBST JUDICIARY,166(A)(4) WILFUL DISOBEY CT OR,2,2A,0223,2020-01-12T00:04:23.000Z
786,1431900,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,4,4B,0969,2020-01-12T00:12:20.000Z
787,1431902,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,1,1A,0106,2020-01-07T00:09:27.000Z
788,1431903,2999,38,VANDALISM,594(B)(1) VANDAL $400 OR MORE,6,6D,0856,2020-01-12T00:04:23.000Z
789,1431905,5707,0,PRIVACY,602 PC TRESPASS,6,6A,1015,2020-01-12T00:15:38.000Z
790,1431906,5012,0,OBST JUDICIARY,1203.2 PC VIOL OF PROBATION,2,2B,0563,2020-01-12T00:09:59.000Z
791,1431908,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2A,0223,2020-01-12T00:06:36.000Z
792,1431910,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,6,6A,1042,2020-01-05T00:18:34.000Z
793,1431911,2304,1,LARCENY,487(A) GRAND THEFT-AUTO PARTS,3,3B,0778,2020-01-10T00:22:30.000Z
794,1431912,3599,35,NARCOTICS,11378 HS POSS CNTRL SUB/SALE,2,2A,0506,2020-01-11T00:20:29.000Z
795,1431917,2304,1,LARCENY,487(A) GRAND THEFT-AUTO PARTS,3,3A,0765,2020-01-08T00:02:56.000Z
796,1431918,1399,4,BATTERY,243(D) BATTERY CIVILIAN W/INJ,5,5A,1391,2020-01-12T00:20:35.000Z
797,1431923,5012,0,OBST JUDICIARY,1203.2 PC VIOL OF PROBATION,6,6C,1111,2020-01-12T00:15:26.000Z
798,1431924,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,6,6A,1001,2020-01-12T00:15:52.000Z
799,1431930,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3M,0752,2020-01-12T00:20:00.000Z
800,1431931,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,6,6C,1124,2020-01-10T00:15:50.000Z
801,1431933,2999,33,VANDALISM,594(A)(2) VANDALISM-DAMAGE,6,6A,1014,2020-01-12T00:18:54.000Z
802,1431934,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,5,5C,1637,2020-01-12T00:13:34.000Z
803,1431937,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5A,1511,2020-01-12T00:09:00.000Z
804,1431938,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5B,1369,2020-01-12T00:20:00.000Z
805,1431939,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6B,1018,2020-01-02T00:08:28.000Z
806,1431940,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,5,5B,1621,2020-01-03T00:02:50.000Z
807,1431941,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4C,1251,2020-01-12T00:21:00.000Z
808,1431942,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6B,1088,2020-01-10T00:23:00.000Z
809,1431945,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6E,1102,2020-01-09T00:15:40.000Z
810,1431946,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6A,1015,2020-01-03T00:07:23.000Z
811,1431948,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,6,6D,0821,2020-01-10T00:17:45.000Z
812,1431951,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,3,3B,0788,2020-01-10T00:23:00.000Z
813,1431952,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,5,5C,1624,2020-01-10T00:23:00.000Z
814,1431954,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,5,5C,1623,2020-01-06T00:08:30.000Z
815,1431956,1313,19,BATTERY,242 PC BATTERY CIVILIAN,1,1C,0418,2020-01-12T00:01:00.000Z
816,1431959,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,0116,2020-01-08T00:12:20.000Z
817,1431960,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3A,0707,2020-01-09T00:04:35.000Z
818,1431962,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,3,3A,0784,2020-01-09T00:03:25.000Z
819,1431963,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6C,1131,2020-01-10T00:01:00.000Z
820,1431966,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,5,5C,1624,2020-01-09T00:10:44.000Z
821,1431967,2310,0,LARCENY,1708 US THEFT OF MAIL,1,1A,0115,2020-01-06T00:13:30.000Z
822,1431969,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,5,5B,1369,2020-01-10T00:07:15.000Z
823,1431970,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5C,1607,2020-01-09T00:18:55.000Z
824,1431971,2999,36,VANDALISM,594(A)(3) VANDALISM-DESTROY,1,1A,0106,2020-01-12T00:10:30.000Z
825,1431972,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6B,1068,2020-01-10T00:19:00.000Z
826,1431973,2602,0,FRAUD,FRAUD-SWINDLE,1,1A,0103,2020-01-09T00:10:00.000Z
827,1431974,2399,2,LARCENY,484 PC PETTY THEFT,2,2C,0603,2020-01-10T00:23:00.000Z
828,1431975,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,2,2A,0506,2020-01-10T00:07:24.000Z
829,1431978,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3M,0742,2020-01-02T00:21:26.000Z
830,1431979,2999,03,VANDALISM,594(B)(1) VANDALISM GRAF >$400,2,2A,0516,2020-01-08T00:12:20.000Z
831,1431980,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1A,0307,2020-01-07T00:03:25.000Z
832,1431981,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,4,4B,1304,2020-01-09T00:00:00.000Z
833,1431982,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,5,5C,1654,2020-01-10T00:07:10.000Z
834,1431983,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,2,2B,0541,2020-01-09T00:23:30.000Z
835,1431985,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1A,0333,2020-01-10T00:00:00.000Z
836,1431989,2399,2,LARCENY,484 PC PETTY THEFT,5,5C,1654,2020-01-11T00:10:25.000Z
837,1431991,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6B,1019,2020-01-10T00:23:55.000Z
838,1431993,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,4,4A,0928,2020-01-10T00:10:30.000Z
839,1431995,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,0145,2020-01-09T00:17:47.000Z
840,1431997,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0338,2020-01-10T00:11:15.000Z
841,1431998,1313,19,BATTERY,242 PC BATTERY CIVILIAN,2,2C,0626,2020-01-04T00:20:30.000Z
842,1431999,1313,19,BATTERY,242 PC BATTERY CIVILIAN,6,6C,1111,2020-01-03T00:18:00.000Z
843,1432002,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3B,0728,2020-01-10T00:22:20.000Z
844,1432004,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6D,0856,2020-01-12T00:04:23.000Z
845,1432007,5005,2,OBST JUDICIARY,166(A)(4) WILFUL DISOBEY CT OR,1,1C,0447,2020-01-11T00:23:00.000Z
846,1432010,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,5,5C,1654,2020-01-12T00:01:04.000Z
847,1432012,2399,2,LARCENY,484 PC PETTY THEFT,1,1B,0401,2020-01-04T00:09:25.000Z
848,1432013,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0440,2020-01-11T00:19:45.000Z
849,1432014,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,5,5A,1506,2020-01-12T00:21:11.000Z
850,1432016,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6A,1001,2020-01-13T00:01:30.000Z
851,1432018,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,6,6A,1051,2020-01-10T00:15:55.000Z
852,1432020,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5A,1396,2020-01-06T00:08:00.000Z
853,1432021,2308,0,LARCENY,484 PC PETTY THEFT/INSIDE,5,5B,1633,2020-01-04T00:12:00.000Z
854,1432025,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,2,2A,0213,2020-01-11T00:15:49.000Z
855,1432026,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,4,4C,1284,2020-01-10T00:17:05.000Z
856,1432027,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,5,5C,1635,2020-01-11T00:03:40.000Z
857,1432028,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,2,2A,0232,2020-01-11T00:09:18.000Z
858,1432029,2399,23,LARCENY,487(A) GRAND THFT-RECYCL METAL,1,1B,0401,2020-01-11T00:00:25.000Z
859,1432032,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,5,5B,1604,2020-01-12T00:21:38.000Z
860,1432035,2310,0,LARCENY,1708 US THEFT OF MAIL,4,4A,0907,2020-01-11T00:00:00.000Z
861,1432036,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,2,2A,0232,2020-01-11T00:18:55.000Z
862,1432037,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,2,2A,0232,2020-01-09T00:13:14.000Z
863,1432038,2310,0,LARCENY,1708 US THEFT OF MAIL,6,6E,0871,2020-01-08T00:08:00.000Z
864,1432039,2399,2,LARCENY,484 PC PETTY THEFT,1,1B,0443,2020-01-11T00:11:25.000Z
865,1432040,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,4,4C,1296,2020-01-12T00:16:00.000Z
866,1432041,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5B,1621,2020-01-12T00:12:59.000Z
867,1432042,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,4,4B,0986,2020-01-11T00:20:50.000Z
868,1432043,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,1,1B,0444,2020-01-12T00:16:52.000Z
869,1432045,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2C,0603,2020-01-10T00:08:30.000Z
870,1432048,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,0318,2020-01-13T00:10:10.000Z
871,1432049,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,6,6A,1015,2020-01-12T00:15:00.000Z
872,1432051,2399,23,LARCENY,487(A) GRAND THFT-RECYCL METAL,2,2C,0606,2020-01-10T00:21:00.000Z
873,1432052,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,1,1A,0306,2020-01-12T00:12:06.000Z
874,1432053,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2B,0546,2020-01-12T00:18:00.000Z
875,1432054,2506,02,FORGERY,475(A)PC POSS FORGED CHK/NOTE,6,6C,1441,2020-01-12T00:15:17.000Z
876,1432059,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,1,1C,0429,2020-01-11T00:17:05.000Z
877,1432060,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6C,1146,2020-01-11T00:15:47.000Z
878,1432061,2399,2,LARCENY,484 PC PETTY THEFT,6,6D,0846,2020-01-12T00:12:00.000Z
879,1432062,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,3,3B,0748,2020-01-12T00:02:44.000Z
880,1432064,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6C,1445,2020-01-12T00:05:49.000Z
881,1432065,2399,2,LARCENY,484 PC PETTY THEFT,4,4B,0958,2020-01-12T00:10:55.000Z
882,1432068,2803,0,STOLEN PROP,496(A) REC STOLEN PROP-FEL,2,2B,0553,2020-01-12T00:17:48.000Z
883,1432069,2399,2,LARCENY,484 PC PETTY THEFT,3,3M,0742,2020-01-12T00:18:31.000Z
884,1432071,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,1,1B,0421,2020-01-01T00:22:20.000Z
885,1432072,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3B,0787,2020-01-12T00:20:48.000Z
886,1432073,5499,452,TRAFFIC,14601.2(A) SUSP LIC-DUI CONVCT,5,5C,1624,2020-01-13T00:00:06.000Z
887,1432075,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6C,1153,2020-01-13T00:11:52.000Z
888,1432077,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2C,0567,2020-01-12T00:04:24.000Z
889,1432078,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6C,1133,2020-01-11T00:11:40.000Z
890,1432079,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,5,5C,1623,2020-01-02T00:17:04.000Z
891,1432080,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6C,1441,2020-01-12T00:05:49.000Z
892,1432081,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2C,0622,2020-01-12T00:07:12.000Z
893,1432082,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2C,0614,2020-01-12T00:09:14.000Z
894,1432085,2506,02,FORGERY,475(A)PC POSS FORGED CHK/NOTE,6,6D,0841,2020-01-13T00:06:23.000Z
895,1432086,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6C,1411,2020-01-13T00:00:30.000Z
896,1432087,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2A,0508,2020-01-06T00:02:41.000Z
897,1432088,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3B,0737,2020-01-13T00:08:29.000Z
898,1432093,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,6,6D,0803,2020-01-12T00:22:00.000Z
899,1432094,5005,2,OBST JUDICIARY,166(A)(4) WILFUL DISOBEY CT OR,3,3M,0742,2020-01-12T00:11:30.000Z
900,1432096,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,4,4A,0905,2020-01-06T00:14:49.000Z
901,1432097,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,4,4A,0909,2020-01-09T00:06:12.000Z
902,1432098,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2A,0213,2020-01-10T00:15:22.000Z
903,1432101,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,5,5A,1506,2020-01-13T00:11:31.000Z
904,1432103,5212,02,WEAPON OFFENSE,417(A)2) PC BRANDISH FIREARM,5,5A,1391,2020-01-13T00:11:33.000Z
905,1432104,5005,4,OBST JUDICIARY,166(C)(1) VIOL PROTECT ORDER,5,5B,1358,2020-01-13T00:09:34.000Z
906,1432105,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,4,4B,0976,2020-01-10T00:14:10.000Z
907,1432108,1210,0,ROBBERY,211 PC ROBBERY-PURSE SNATCH,3,3M,0734,2020-01-12T00:22:36.000Z
908,1432110,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,4,4A,0908,2020-01-13T00:21:36.000Z
909,1432115,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2B,0563,2020-01-13T00:19:30.000Z
910,1432116,2803,0,STOLEN PROP,496(A) REC STOLEN PROP-FEL,1,1C,0429,2020-01-13T00:21:26.000Z
911,1432119,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2B,0563,2020-01-13T00:09:10.000Z
912,1432124,1399,4,BATTERY,243(D) BATTERY CIVILIAN W/INJ,2,2B,0523,2020-01-10T00:16:00.000Z
913,1432125,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2C,0567,2020-01-13T00:08:49.000Z
914,1432126,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2B,0531,2020-01-13T00:09:49.000Z
915,1432128,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3B,0768,2020-01-10T00:15:36.000Z
916,1432133,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,3,3B,0746,2020-01-13T00:05:34.000Z
917,1432135,5005,2,OBST JUDICIARY,166(A)(4) WILFUL DISOBEY CT OR,4,4A,0912,2020-01-12T00:14:00.000Z
918,1432136,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2C,0603,2020-01-13T00:16:39.000Z
919,1432138,2999,091,TAMPERING,10852 VC VEHICLE TAMPERING,3,3B,0738,2020-01-10T00:17:00.000Z
920,1432139,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,3,3B,0746,2020-01-13T00:06:54.000Z
921,1432141,2399,2,LARCENY,484 PC PETTY THEFT,6,6B,1065,2020-01-10T00:23:03.000Z
922,1432143,2310,0,LARCENY,1708 US THEFT OF MAIL,5,5C,1635,2020-01-13T00:07:00.000Z
923,1432144,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2B,0532,2020-01-11T00:15:21.000Z
924,1432145,2399,2,LARCENY,484 PC PETTY THEFT,4,4B,1346,2020-01-11T00:16:25.000Z
925,1432146,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,3,3M,0742,2020-01-13T00:05:39.000Z
926,1432147,2399,2,LARCENY,484 PC PETTY THEFT,4,4C,1285,2020-01-10T00:21:30.000Z
927,1432148,2399,2,LARCENY,484 PC PETTY THEFT,6,6B,1002,2020-01-10T00:15:00.000Z
928,1432150,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0336,2020-01-12T00:02:00.000Z
929,1432152,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0313,2020-01-13T00:14:55.000Z
930,1432153,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,4,4C,1266,2020-01-12T00:00:40.000Z
931,1432154,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,5,5C,1606,2020-01-11T00:11:33.000Z
932,1432157,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3B,0738,2020-01-12T00:14:30.000Z
933,1432159,2205,0,BURGLARY,459 PC BURG BUSINESS-NO FORCE,1,1A,0328,2020-01-10T00:18:40.000Z
934,1432160,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0440,2020-01-11T00:02:40.000Z
935,1432162,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,6,6D,0804,2020-01-13T00:16:15.000Z
936,1432164,1313,19,BATTERY,242 PC BATTERY CIVILIAN,2,2B,0523,2020-01-13T00:16:42.000Z
937,1432165,7399,69,SAC CITY CODE,12.72.090 SCC IN PK AFTER HRS,3,3M,0734,2020-01-13T00:17:41.000Z
938,1432167,7399,132,SAC CITY CODE,12.74.030 SCC-CITY HALL VIOL-M,3,3M,0734,2020-01-13T00:17:59.000Z
939,1432170,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4C,1279,2020-01-13T00:18:30.000Z
940,1432171,5309,02,PUBLIC PEACE,653X(A) MISUSE 911 EMERGENCY,6,6E,1115,2020-01-14T00:00:55.000Z
941,1432172,4801,0,OBSTRUCTING,148(A)(1)PC RESIST PEACE OFFCR,2,2B,0546,2020-01-13T00:13:41.000Z
942,1432173,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,2,2A,0226,2020-01-13T00:20:43.000Z
943,1432175,5299,127,WEAPON OFFENSE,30305(A)(1) FELON POSS AMMO-F,6,6B,1088,2020-01-13T00:20:37.000Z
944,1432177,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5B,1369,2020-01-13T00:07:00.000Z
945,1432178,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6D,0846,2020-01-13T00:22:00.000Z
946,1432185,1313,19,BATTERY,242 PC BATTERY CIVILIAN,3,3B,0747,2020-01-12T00:01:00.000Z
947,1432189,2399,23,LARCENY,487(A) GRAND THFT-RECYCL METAL,4,4B,0958,2020-01-10T00:15:00.000Z
948,1432190,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0304,2020-01-12T00:07:30.000Z
949,1432192,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,5,5A,1522,2020-01-12T00:15:21.000Z
950,1432193,2399,2,LARCENY,484 PC PETTY THEFT,3,3M,0732,2020-01-13T00:05:50.000Z
951,1432195,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,3,3A,0725,2020-01-14T00:02:40.000Z
952,1432196,5202,27,WEAPON OFFENSE,25400(C)(6)(B) CCW-NOT REG OWN,4,4A,0937,2020-01-12T00:01:39.000Z
953,1432197,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,3,3M,0735,2020-01-14T00:03:25.000Z
954,1432198,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,3,3M,0735,2020-01-14T00:03:56.000Z
955,1432199,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2C,0604,2020-01-12T00:03:00.000Z
956,1432200,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,3,3M,0745,2020-01-14T00:06:33.000Z
957,1432201,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,3,3B,0746,2020-01-14T00:05:07.000Z
958,1432203,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0308,2020-01-13T00:20:00.000Z
959,1432205,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,5,5C,1607,2020-01-11T00:23:51.000Z
